date,interval,charge_kwh,discharge_kwh,soc_label,energy_kwh
2025-03-20,00:00-04:00,7125.963644235215,77.69530777984312,00:00,2284.1630424218
2025-03-20,04:00-08:00,3293.913414734384,6428.869640436911,24:00,1815.7781945891534
2025-03-20,08:00-12:00,6210.427423368567,2777.3772166666668,,
2025-03-20,12:00-16:00,4607.866147337309,409.610478149202,,
2025-03-20,16:00-20:00,207.10462878385,7860.320532645737,,
2025-03-20,20:00-24:00,639.965962987371,756.7185767428455,,
2025-06-21,00:00-04:00,2256.0483687103833,2605.0492410201878,00:00,3017.6396725928566
2025-06-21,04:00-08:00,2993.218332765123,1719.9539666666667,24:00,3711.835315352505
2025-06-21,08:00-12:00,8737.310461923615,0.0,,
2025-06-21,12:00-16:00,0.0,0.0,,
2025-06-21,16:00-20:00,177.59820368278082,5138.7513493911,,
2025-06-21,20:00-24:00,2765.046322911895,3624.1389333333336,,
2025-09-23,00:00-04:00,10112.125491722476,0.8539867715007858,00:00,1317.2720487273525
2025-09-23,04:00-08:00,1310.5130196258115,6726.248428358558,24:00,1709.5744666434728
2025-09-23,08:00-12:00,5745.834008609319,1896.6157166666667,,
2025-09-23,12:00-16:00,4384.3439679237035,510.62115613893735,,
2025-09-23,16:00-20:00,85.96701688232054,6705.380511573145,,
2025-09-23,20:00-24:00,604.8606280825526,1824.5597719720909,,
2025-12-21,00:00-04:00,9018.380945778748,24.33879842811814,00:00,2710.500258163703
2025-12-21,04:00-08:00,1474.9378914241647,1998.420284822585,24:00,2816.4726584734562
2025-12-21,08:00-12:00,6104.336525096714,6631.547236017055,,
2025-12-21,12:00-16:00,5815.882296449874,2220.1094166666667,,
2025-12-21,16:00-20:00,0.0,5297.123023178745,,
2025-12-21,20:00-24:00,1858.5257396767765,3393.4574333333335,,
