date,interval,charge_kwh,discharge_kwh,soc_label,energy_kwh
2025-03-20,00:00-04:00,5002.857392115195,35.97129489918448,00:00,4485.31990276248
2025-03-20,04:00-08:00,1999.4761680639645,6181.892989009197,24:00,1421.8873072551607
2025-03-20,08:00-12:00,1962.5062646915167,2405.7487393068873,,
2025-03-20,12:00-16:00,7448.455933669707,0.0,,
2025-03-20,16:00-20:00,688.3155899093874,6697.915072225519,,
2025-03-20,20:00-24:00,283.9106711131759,1517.8340763617816,,
2025-06-21,00:00-04:00,1994.0796011761545,1705.4285065585168,00:00,2153.983003871577
2025-06-21,04:00-08:00,1910.2019800271328,1699.2691977617274,24:00,7822.218003669201
2025-06-21,08:00-12:00,9905.734469211313,0.0,,
2025-06-21,12:00-16:00,0.0,0.0,,
2025-06-21,16:00-20:00,66.56085771105722,4914.964656835939,,
2025-06-21,20:00-24:00,6439.276956995166,3034.767769773821,,
2025-09-23,00:00-04:00,7912.581295144358,606.9121739600273,00:00,3475.983874418339
2025-09-23,04:00-08:00,1716.1452388042608,7080.03648181962,24:00,2519.6392205560473
2025-09-23,08:00-12:00,4024.1896372823617,2096.8882425652805,,
2025-09-23,12:00-16:00,6548.2912363291725,0.0,,
2025-09-23,16:00-20:00,16.29997433859569,6312.444280783718,,
2025-09-23,20:00-24:00,1494.773623994336,2351.3766241208205,,
2025-12-21,00:00-04:00,377.9924355796854,0.0,00:00,10459.806807978282
2025-12-21,04:00-08:00,1543.8943098845411,1250.55439100648,24:00,8285.973746635413
2025-12-21,08:00-12:00,4494.737933318173,8395.03209631707,,
2025-12-21,12:00-16:00,8600.2262524766,2211.8888941766954,,
2025-12-21,16:00-20:00,0.0,4837.97475757067,,
2025-12-21,20:00-24:00,7602.921956562593,3583.01565527316,,
