status,policy,day,segments,plans,initial_SOC,final_SOC,max_physical_residual,normal,adjustment,emergency,total,c,s,g,w,date
PASS,C0,0,144,18,6000.0,1200.0,2.2737367544323206e-13,0.0,0.0,357335.3204783167,357335.3204783167,0.0,4320.0,87687.34161666667,0.0,2025-01-01
PASS,C1,0,144,18,6000.0,1200.0,2.2737367544323206e-13,0.0,0.0,357335.3204783167,357335.3204783167,0.0,4320.0,87687.34161666667,0.0,2025-01-01
PASS,C2,0,144,18,6000.0,9809.567075385808,7.389644451905042e-13,49241.616102241394,24620.808051120697,124493.70458933446,198356.12874269657,17833.12482896091,11016.22074361111,36587.05540884722,0.0,2025-01-01
PASS,C0,1,144,24,1200.0,8589.043739074077,9.094947017729282e-13,66799.09428063009,0.0,6263.032988836513,73062.12726946661,32013.322539300418,19280.65189166667,1423.8364212962952,2469.8383190329128,2025-01-02
PASS,C1,1,144,24,1200.0,8577.064961296297,8.757439218243235e-13,66799.09428063009,0.0,4508.182545659072,71307.27682628916,32432.23105874486,19630.748692416666,1073.7396205462983,2050.9297995884726,2025-01-02
PASS,C2,1,144,24,9809.567075385808,8607.787870802476,8.881784197001252e-13,61666.22992723154,954.1775937390448,5099.076341669915,67719.4838626405,23510.078207047332,20124.76463183333,1234.4000917777753,645.9091889917602,2025-01-02
PASS,C0,2,144,24,8589.043739074077,10800.0,9.094947017729282e-13,61774.862720548175,0.0,0.0,61774.862720548175,12025.971809122082,7751.1765305555555,0.0,46606.8811255487,2025-01-03
PASS,C1,2,144,24,8577.064961296297,10800.0,9.094947017729282e-13,61780.51670365929,0.0,0.0,61780.51670365929,12039.281562208502,7751.1765305555555,0.0,46606.8811255487,2025-01-03
PASS,C2,2,144,24,8607.787870802476,10800.0,9.094947017729282e-13,58948.9136223781,1408.941018724914,0.0,60357.85464110302,12047.48446454046,7785.4715,0.0,40903.55019248972,2025-01-03
PASS,C0,3,144,24,10800.0,8471.64276,8.810729923425242e-13,24057.662121049263,0.0,6721.571884095111,30779.234005144375,18020.1597590535,16691.850920833334,1460.2401902777754,893.1264333333329,2025-01-04
PASS,C1,3,144,24,10800.0,8614.510327901238,8.810729923425242e-13,24057.662121049263,0.0,6514.180824606286,30571.842945655546,17954.0116414952,16509.690134499997,1642.4009766111128,959.2745508916339,2025-01-04
PASS,C2,3,144,24,10800.0,8587.556114938274,8.65085780787922e-13,24086.422988985272,546.5985183867492,6294.186449189705,30927.207956561728,17532.243350994515,16192.316610861111,1438.6529585243468,856.6734777777773,2025-01-04
PASS,C0,4,144,24,8471.64276,7192.750095,9.094947017729282e-13,25184.00950151688,0.0,207727.95565949375,232911.96516101065,11870.528324279832,10766.131341166665,43972.812087948565,0.0,2025-01-05
PASS,C1,4,144,24,8614.510327901238,7192.750095,9.094947017729282e-13,25116.393175907495,0.0,205943.85915731528,231060.25233322277,11798.850182167345,10836.652857166664,43989.354171948566,0.0,2025-01-05
PASS,C2,4,144,24,8587.556114938274,7192.750095,9.094947017729282e-13,33553.708848046466,4226.044477632725,161505.73128384768,199285.48460952687,13851.77080840192,12475.25977275,35449.26970792181,0.0,2025-01-05
PASS,C0,5,144,24,7192.750095,8658.86444925926,9.094947017729282e-13,62284.107509211164,0.0,4392.785666159985,66676.89317537115,26494.315904526757,20140.892963833332,1044.8467972777812,1850.9570154320934,2025-01-06
PASS,C1,5,144,24,7192.750095,8658.873967777778,9.094947017729282e-13,62284.107509211164,0.0,3456.833652829272,65740.94116204043,26751.0959085048,20348.876200388888,836.8635607222276,1594.1770114540454,2025-01-06
PASS,C2,5,144,24,7192.750095,8658.86444925926,9.094947017729282e-13,62432.879287295706,412.6949815802304,2640.3026998930777,65485.876968769015,26476.601526200277,20126.544317388893,661.7238687222214,1535.498292009605,2025-01-06
PASS,C0,6,144,24,8658.86444925926,8776.16731777778,9.094947017729282e-13,59395.39746660475,0.0,19523.478080741756,78918.87554734651,23140.771346262005,18638.452208805556,4222.871924527778,542.9551555555531,2025-01-07
PASS,C1,6,144,24,8658.873967777778,8782.379336296297,9.094947017729282e-13,59395.392973864014,0.0,20113.59335534539,79508.98632920941,22883.594478463652,18424.556695888885,4436.7674374444505,800.12144722222,2025-01-07
PASS,C2,6,144,24,8658.86444925926,8796.563723518522,9.094947017729282e-13,62288.2702546141,1446.570771193564,4072.3644417018654,67807.20546750953,25101.086006995894,20207.950318833336,940.4963865555499,945.7889722222163,2025-01-07
PASS,C0,7,144,24,8776.16731777778,8810.83200685185,9.094947017729282e-13,65330.81971953343,0.0,2549.7186927881917,67880.53841232162,24006.563973353917,19414.118598250003,736.3225184166654,7928.17519934841,2025-01-08
PASS,C1,7,144,24,8782.379336296297,8810.83200685185,9.094947017729282e-13,65327.88764679269,0.0,2809.5169249453597,68137.40457173805,23936.57993611112,19363.022344750003,787.4187719166657,7991.2569937928565,2025-01-08
PASS,C2,7,144,24,8796.563723518522,8810.824198209873,9.094947017729282e-13,60329.9712163695,2495.610699827148,4663.386843404071,67488.96875960071,24948.99020294925,20195.84763716667,1198.8550590610387,1189.2972740054815,2025-01-08
