month,segments,normal,adjustment,emergency,total,normal_kwh,emergency_kwh,unused_kwh,initial_energy,final_energy
1,4464,1987521.2321490648,0.0,1576339.5185482416,3563860.7506973064,2304883.1151592857,312090.64056970633,268916.41464434157,6000.0,10800.0
2,4032,1257004.47779668,0.0,11940.312723846835,1268944.790520527,1951627.3786477046,2476.0320552706303,132383.23340621646,10800.0,1953.9901221336472
3,4464,1099600.4266573987,0.0,30355.18342471481,1129955.6100821134,1843603.8832404357,5581.951271013132,201558.31391859736,1953.9901221336472,1685.2810596621298
4,4320,904469.0370796818,0.0,42304.707084125745,946773.7441638075,1584538.62024125,6858.321040323349,265932.0725664482,1685.2810596621298,1975.6507752879293
5,4464,925159.821602354,0.0,39826.206820522515,964986.0284228765,1585266.9206169697,7770.420730110824,302191.19464704173,1975.6507752879293,2489.524380054963
6,4320,1363910.4404979679,0.0,164946.91928965278,1528857.3597876206,2064844.3975735381,26302.23137281891,234864.03085826122,2489.524380054963,1870.090684565454
7,4464,1664747.523447504,0.0,68032.37855265493,1732779.902000159,2321783.2214042656,9576.631258457102,278848.60207017546,1870.090684565454,1753.4579571047946
8,4464,1361504.8094027606,0.0,52499.302390575045,1414004.1117933358,1965767.5968146604,7530.942771429657,279827.914299278,1753.4579571047946,2538.0259936406837
9,4320,1032080.885654385,0.0,220994.82378036893,1253075.709434754,1667852.4067963655,41026.5862619899,210579.71018221084,2538.0259936406837,2081.8350442083115
10,4464,1110118.6805406748,0.0,26133.064781636138,1136251.745322311,1844078.6953864489,4352.582537417776,251874.04872250845,2081.8350442083115,2127.3886943947173
11,4320,1344860.1214890836,0.0,3196.238016937876,1348056.3595060215,2076206.3964144585,586.8992194075472,170293.63145653758,2127.3886943947173,2375.0229514102016
12,4464,1962928.521079428,0.0,39586.50278366392,2002515.023863092,2724115.085437926,6138.323778586492,235432.12940176143,2375.0229514102016,1879.8046304806337
