position,policy,method,mapping,q0,a_final,ell,pv,price,E_before,E_after,R,plan_time,version_id,published,c,s,g,w,normal,adjustment,emergency,total
11232,C2,P1,Q43,582.97806887534,582.97806887534,568.4183333333334,0.0,0.4495,4485.31990276248,4498.423664750286,4485.31990276248,11232,C2_d78_s0,11232,14.559735542006592,0.0,0.0,0.0,262.04864195946533,0.0,0.0,262.04864195946533
11233,C2,P1,Q43,583.8106204508025,583.8106204508025,549.8448166666667,0.0,0.4487,4498.423664750286,4528.992888156008,4485.31990276248,11232,C2_d78_s0,11232,33.9658037841358,0.0,0.0,0.0,261.9558253962751,0.0,0.0,261.9558253962751
11234,C2,P1,Q43,578.1753967536122,578.1753967536122,570.3135,0.0,0.4373,4528.992888156008,4536.068595234259,4485.31990276248,11232,C2_d78_s0,11232,7.8618967536122,0.0,0.0,0.0,252.83610100035463,0.0,0.0,252.83610100035463
11235,C2,P1,Q43,578.7412321114311,578.7412321114311,613.8516666666667,0.0,0.4311,4536.068595234259,4497.057001283997,4485.31990276248,11232,C2_d78_s0,11232,0.0,35.11043455523554,0.0,0.0,249.49534516323797,0.0,0.0,249.49534516323797
11236,C2,P1,Q43,581.7286625062479,581.7286625062479,579.4561666666667,0.0,0.4344,4497.057001283997,4499.10224753962,4485.31990276248,11232,C2_d78_s0,11232,2.272495839581211,0.0,0.0,0.0,252.7029309927141,0.0,0.0,252.7029309927141
11237,C2,P1,Q43,578.681899991882,578.681899991882,550.4449166666667,0.0,0.4238,4499.10224753962,4524.515532532314,4485.31990276248,11232,C2_d78_s0,11232,28.236983325215306,0.0,0.0,0.0,245.2453892165596,0.0,0.0,245.2453892165596
11238,C2,P1,Q43,571.8802187877394,571.8802187877394,571.1566666666666,0.0,0.4296,4524.515532532314,4525.166729441279,4524.515532532314,11238,C2_d78_s0,11232,0.7235521210727711,0.0,0.0,0.0,245.67974199121284,0.0,0.0,245.67974199121284
11239,C2,P1,Q43,569.69516928473,569.69516928473,601.5890499999999,0.0,0.4989,4525.166729441279,4524.515532532314,4524.515532532314,11238,C2_d78_s0,11232,0.0,0.5860772180686581,31.307803497201256,0.0,284.2209199561518,0.0,78.09731582376853,362.3182357799203
11240,C2,P1,Q43,1394.618350765239,1394.618350765239,611.48375,0.0,0.5083,4524.515532532314,5229.336673221029,5235.319902762476,11238,C2_d78_s0,11232,783.134600765239,0.0,0.0,0.0,708.8845076939709,0.0,0.0,708.8845076939709
11241,C2,P1,Q43,551.4208710910599,551.4208710910599,598.2166666666667,0.0,0.4468,5229.336673221029,5229.336673221029,5235.319902762476,11238,C2_d78_s0,11232,0.0,0.0,46.7957955756068,0.0,246.37484520348553,0.0,104.5418073159056,350.91665251939116
11242,C2,P1,Q43,559.6652489630391,559.6652489630391,583.9359499999999,0.0,0.4284,5229.336673221029,5229.336673221029,5235.319902762476,11238,C2_d78_s0,11232,0.0,0.0,24.270701036960872,0.0,239.76059265576595,0.0,51.98784162117018,291.7484342769361
11243,C2,P1,Q43,579.8412710123164,579.8412710123164,590.99505,0.0,0.4436,5229.336673221029,5229.336673221029,5235.319902762476,11238,C2_d78_s0,11232,0.0,0.0,11.153778987683609,0.0,257.21758782106355,0.0,24.739081794682242,281.9566696157458
11244,C2,P1,Q43,592.5995962868262,592.5995962868262,598.4433333333333,0.0,0.454,5229.336673221029,5229.336673221029,5229.336673221029,11244,C2_d78_s0,11232,0.0,0.0,5.843737046507044,0.0,269.0402167142191,0.0,13.265283095570991,282.3054998097901
11245,C2,P1,Q43,1414.5291578308636,1414.5291578308636,565.9836166666666,0.0,0.4404,5229.336673221029,5979.336673221029,5979.336673221029,11244,C2_d78_s0,11232,833.3333333333334,0.0,0.0,15.212207830863576,622.9586411087123,0.0,0.0,622.9586411087123
11246,C2,P1,Q43,1398.7729444469874,1398.7729444469874,546.1207666666667,0.0,0.4405,5979.336673221029,6729.336673221029,6729.336673221029,11244,C2_d78_s0,11232,833.3333333333334,0.0,0.0,19.318844446987328,616.159482028898,0.0,0.0,616.159482028898
11247,C2,P1,Q43,566.0525717603463,566.0525717603463,565.7133333333334,0.0,0.4545,6729.336673221029,6729.64198780534,6729.336673221029,11244,C2_d78_s0,11232,0.3392384270129014,0.0,0.0,0.0,257.27089386507737,0.0,0.0,257.27089386507737
11248,C2,P1,Q43,587.0293727570012,587.0293727570012,597.9265666666666,0.0,0.4389,6729.64198780534,6729.336673221029,6729.336673221029,11244,C2_d78_s0,11232,0.0,0.2747831258802762,10.622410783785199,0.0,257.64719170304784,0.0,23.31088046501662,280.95807216806446
11249,C2,P1,Q43,1432.5803512542907,1432.5803512542907,600.9544666666667,0.0,0.3868,6729.336673221029,7477.7999693498905,7479.336673221029,11244,C2_d78_s0,11232,831.625884587624,0.0,0.0,0.0,554.1220798651597,0.0,0.0,554.1220798651597
11250,C2,P1,Q43,1423.1463986239155,1423.1463986239155,587.1316666666667,0.0,0.3634,7477.7999693498905,8227.79996934989,8227.79996934989,11250,C2_d78_s0,11232,833.3333333333334,0.0,0.0,2.68139862391547,517.1714012599309,0.0,0.0,517.1714012599309
11251,C2,P1,Q43,1405.3475009696945,1405.3475009696945,605.2103000000001,0.0,0.4416,8227.79996934989,8947.923450222614,8977.79996934989,11250,C2_d78_s0,11232,800.1372009696944,0.0,0.0,0.0,620.601456428217,0.0,0.0,620.601456428217
11252,C2,P1,Q43,565.5724255546145,565.5724255546145,621.8923833333333,0.0,0.4839,8947.923450222614,8947.923450222614,8977.79996934989,11250,C2_d78_s0,11232,0.0,0.0,56.319957778718845,0.0,273.68049672587796,0.0,136.26613784561025,409.9466345714882
