日期,时间段,充电量_kWh,放电量_kWh,日初0000储电_kWh,日末2400储电_kWh
2025-03-20,00:00-04:00,8016.61786637123,78.90919453171699,2169.05096281,1813.40873711
2025-03-20,04:00-08:00,1775.4015510418,5804.16158237742,2169.05096281,1813.40873711
2025-03-20,08:00-12:00,6210.427423368,2777.377216667,2169.05096281,1813.40873711
2025-03-20,12:00-16:00,4593.8802090714,409.6104781493,2169.05096281,1813.40873711
2025-03-20,16:00-20:00,246.43869546355,5668.62199554611,2169.05096281,1813.40873711
2025-03-20,20:00-24:00,611.85564227568,2959.64085981031,2169.05096281,1813.40873711
2025-06-21,00:00-04:00,838.00585729893,22.59650855345,3045.90359273,3747.23706411
2025-06-21,04:00-08:00,1261.4779451259,1719.9539666676,3045.90359273,3747.23706411
2025-06-21,08:00-12:00,8667.4757553045,0.0,3045.90359273,3747.23706411
2025-06-21,12:00-16:00,0.0,0.0,3045.90359273,3747.23706411
2025-06-21,16:00-20:00,210.6217901338,5171.7749358415,3045.90359273,3747.23706411
2025-06-21,20:00-24:00,1406.8904035345,2485.896583333,3045.90359273,3747.23706411
2025-09-23,00:00-04:00,9101.10161521269,15.538650614273,1317.27204873,1709.57446664
2025-09-23,04:00-08:00,1582.2164741439801,6113.036502037155,1317.27204873,1709.57446664
2025-09-23,08:00-12:00,5607.9335999983705,1896.61571666657,1317.27204873,1709.57446664
2025-09-23,12:00-16:00,4568.1000480327,556.0789519203701,1317.27204873,1709.57446664
2025-09-23,16:00-20:00,178.95350740804,5919.95603088014,1317.27204873,1709.57446664
2025-09-23,20:00-24:00,604.86062808221,2676.6663287938,1317.27204873,1709.57446664
2025-12-21,00:00-04:00,8177.308489852922,24.3387984281,2699.21966165,2840.52923461
2025-12-21,04:00-08:00,1623.3775714342,1427.235199473,2699.21966165,2840.52923461
2025-12-21,08:00-12:00,6130.2409796118,6657.45169053352,2699.21966165,2840.52923461
2025-12-21,12:00-16:00,5688.676668839,2112.151011945,2699.21966165,2840.52923461
2025-12-21,16:00-20:00,0.0,5297.1230231790005,2699.21966165,2840.52923461
2025-12-21,20:00-24:00,1205.0927172740999,2842.525766667,2699.21966165,2840.52923461
